nom,date,new_suspected_cases
Mongbalu,14/05/2026,ND
Mongbalu,15/05/2026,0
Rwampara,15/05/2026,72
Bunia,15/05/2026,8
Mongbalu,18/05/2026,56
Rwampara,18/05/2026,64
Bunia,18/05/2026,53
Nyakunde,18/05/2026,14
Goma,18/05/2026,1
Katwa,18/05/2026,1
Butembo,18/05/2026,1
Mongbalu,19/05/2026,7
Rwampara,19/05/2026,18
Bunia,19/05/2026,29
Nyakunde,19/05/2026,5
Goma,19/05/2026,0
Katwa,19/05/2026,0
Butembo,19/05/2026,0
Mongbalu,20/05/2026,8
Rwampara,20/05/2026,25
Bunia,20/05/2026,35
Nyakunde,20/05/2026,9
Goma,20/05/2026,ND
Katwa,20/05/2026,12
Butembo,20/05/2026,6
Bambu,20/05/2026,2
Mongbalu,21/05/2026,5
Rwampara,21/05/2026,14
Bunia,21/05/2026,41
Nyakunde,21/05/2026,9
Goma,21/05/2026,0
Katwa,21/05/2026,13
Butembo,21/05/2026,0
Bambu,21/05/2026,0
Nizi,21/05/2026,1
Kilo,21/05/2026,1
Miti-Murhesa,21/05/2026,1
Mongbalu,22/05/2026,17
Rwampara,22/05/2026,28
Bunia,22/05/2026,61
Nyakunde,22/05/2026,7
Goma,22/05/2026,0
Katwa,22/05/2026,0
Butembo,22/05/2026,0
Bambu,22/05/2026,2
Nizi,22/05/2026,4
Kilo,22/05/2026,1
Miti-Murhesa,22/05/2026,5
Aru,22/05/2026,3
Mongbalu,23/05/2026,ND
Rwampara,23/05/2026,7
Bunia,23/05/2026,22
Nyakunde,23/05/2026,ND
Goma,23/05/2026,ND
Katwa,23/05/2026,ND
Butembo,23/05/2026,ND
Bambu,23/05/2026,2
Nizi,23/05/2026,1
Kilo,23/05/2026,ND
Miti-Murhesa,23/05/2026,ND
Aru,23/05/2026,1
Mongbalu,24/05/2026,ND
Rwampara,24/05/2026,ND
Bunia,24/05/2026,ND
Nyakunde,24/05/2026,ND
Goma,24/05/2026,ND
Katwa,24/05/2026,ND
Butembo,24/05/2026,ND
Bambu,24/05/2026,ND
Nizi,24/05/2026,1
Kilo,24/05/2026,1
Miti-Murhesa,24/05/2026,ND
Aru,24/05/2026,ND
Oicha,24/05/2026,ND
Kalunguta,24/05/2026,ND
Komanda,24/05/2026,ND
Mongbalu,25/05/2026,25
Rwampara,25/05/2026,12
Bunia,25/05/2026,21
Nyankunde,25/05/2026,21
Goma,25/05/2026,0
Katwa,25/05/2026,0
Butembo,25/05/2026,0
Bambu,25/05/2026,0
Nizi,25/05/2026,3
Kilo,25/05/2026,10
Miti-Murhesa,25/05/2026,0
Aru,25/05/2026,0
Oicha,25/05/2026,ND
Kalunguta,25/05/2026,ND
Karisimbi,25/05/2026,ND
Mongbalu,26/05/2026,11
Rwampara,26/05/2026,0
Bunia,26/05/2026,0
Nyankunde,26/05/2026,4
Goma,26/05/2026,0
Katwa,26/05/2026,0
Butembo,26/05/2026,3
Bambu,26/05/2026,4
Nizi,26/05/2026,6
Kilo,26/05/2026,0
Miti-Murhesa,26/05/2026,0
Aru,26/05/2026,0
Oicha,26/05/2026,8
Kalunguta,26/05/2026,2
Karisimbi,26/05/2026,5
Damas,26/05/2026,4
Fataki,26/05/2026,1
Mambasa,26/05/2026,5
Rimba,26/05/2026,14
Kyondo,26/05/2026,3
Mongbalu,27/05/2026,ND
Rwampara,27/05/2026,ND
Bunia,27/05/2026,ND
Nyankunde,27/05/2026,ND
Goma,27/05/2026,ND
Katwa,27/05/2026,ND
Butembo,27/05/2026,ND
Bambu,27/05/2026,ND
Nizi,27/05/2026,ND
Kilo,27/05/2026,ND
Miti-Murhesa,27/05/2026,ND
Aru,27/05/2026,ND
Oicha,27/05/2026,ND
Kalunguta,27/05/2026,ND
Karisimbi,27/05/2026,ND
Damas,27/05/2026,ND
Fataki,27/05/2026,ND
Mambasa,27/05/2026,ND
Rimba,27/05/2026,ND
Kyondo,27/05/2026,ND
Aru,28/05/2026,ND
Bambu,28/05/2026,8
Bunia,28/05/2026,19
Kilo,28/05/2026,ND
Mongbwalu,28/05/2026,7
Nizi,28/05/2026,ND
Nyankunde,28/05/2026,7
Rwampara,28/05/2026,13
Mangala,28/05/2026,ND
Damas,28/05/2026,1
Aungba,28/05/2026,ND
Gethy,28/05/2026,3
Komanda,28/05/2026,ND
Jiba,28/05/2026,2
Lita,28/05/2026,ND
Butembo,28/05/2026,ND
Goma,28/05/2026,ND
Katwa,28/05/2026,ND
Karisimbi,28/05/2026,ND
Kyondo,28/05/2026,ND
Oicha,28/05/2026,ND
Kalunguta,28/05/2026,ND
Beni,28/05/2026,ND
Miti-Murhesa,28/05/2026,ND
